"pedon_key","stationTriplet","Site","stateCode","Network","Name","dcoCode","countyName","HUC","Elevation_ft","Latitude","Longitude","dataTimeZone","shefId","operator","beginDate","endDate","upedonid","pedlabsampnum","State"
"27979","2057:AL:SCAN","2057","AL","SCAN","AAMU-JTG","GC","Madison","060300020502",800,34.78534,-86.55906,-6,"AAMA1","NRCS","2002-02-23 00:00","2100-01-01 00:00","S02AL089002","02N0184","Alabama"
"31337","2092:KS:SCAN","2092","KS","SCAN","Abrams","GC","Cowley","110300130307",1190,37.1313,-97.0859,-6,"ABRK1","NRCS","2004-06-21 00:00","2100-01-01 00:00","04KS035001","04N0873","Kansas"
"19304","2015:NM:SCAN","2015","NM","SCAN","Adams Ranch #1","GC","Lincoln","130600060201",6170,34.25294,-105.41973,-7,"ADRN5","NRCS","1993-10-25 00:00","2100-01-01 00:00","92NM027001","92P0681","New Mexico"
"53313","2172:NM:SCAN","2172","NM","SCAN","Alcalde","GC","Rio Arriba","130201011107",5680,36.0908,-106.05668,-7,"ALDN5","NRCS","2010-03-10 00:00","2100-01-01 00:00","S2010NM039001","10N1336","New Mexico"
"34635","2138:UT:SCAN","2138","UT","SCAN","Alkali Mesa","GC","San Juan","140802030601",6450,37.67455,-109.36429,-7,"ALKU1","NRCS","2007-09-17 00:00","2100-01-01 00:00","S07UT037004","08N0142","Utah"
"30331","2076:TN:SCAN","2076","TN","SCAN","Allen Farms","GC","Giles","060300030905",690,35.0747,-86.8938,-6,"ALFT1","NRCS","2003-06-03 00:00","2100-01-01 00:00","2003TN055001S","03N0737","Tennessee"
"28516","2031:IA:SCAN","2031","IA","SCAN","Ames","GC","Boone","070801050307",1060,42.01667,-93.73333,-6,"AMMI4","NRCS","2001-09-19 00:00","2100-01-01 00:00","S2001IA015001","02N0164","Iowa"
"34967","1062:AK:SNTL","1062","AK","SNTL","Anchor River Divide","AK","Kenai Peninsula","190203010701",1650,59.8608,-151.31494,-9,"ARDA2","NRCS","1980-10-01 00:00","2100-01-01 00:00","S2008AK002011","09N0009","Alaska"
"28500","2065:AK:SNTL","2065","AK","SNTL","Aniak","AK","Bethel","190305020504",90,61.58337,-159.57708,-9,"AMBA2","NRCS","2002-07-21 00:00","2100-01-01 00:00","S2001AK178001","01N1174","Alaska"
"31218","1000:OR:SNTL","1000","OR","SNTL","Annie Springs","OR","Klamath","180102030101",6020,42.87007,-122.16518,-8,"ANSO3","NRCS","2000-09-01 00:00","2100-01-01 00:00","03OR035016","04N0390","Oregon"
